"id","major_id","year","method","score","note","url","created_at","updated_at"
1,1,2023,"Diem thi THPT",36.50,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.046333","2026-08-11 13:54:02.046333"
2,2,2023,"Diem thi THPT",27.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.056654","2026-08-11 13:54:02.056654"
3,3,2023,"Diem thi THPT",27.05,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.057889","2026-08-11 13:54:02.057889"
4,4,2023,"Diem thi THPT",27.15,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.060024","2026-08-11 13:54:02.060024"
5,5,2023,"Diem thi THPT",27.50,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.061353","2026-08-11 13:54:02.061353"
6,6,2023,"Diem thi THPT",27.35,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.062439","2026-08-11 13:54:02.062439"
7,7,2023,"Diem thi THPT",27.35,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.063435","2026-08-11 13:54:02.063435"
8,8,2023,"Diem thi THPT",36.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.064392","2026-08-11 13:54:02.064392"
9,9,2023,"Diem thi THPT",35.95,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.065818","2026-08-11 13:54:02.065818"
10,10,2023,"Diem thi THPT",27.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.067083","2026-08-11 13:54:02.067083"
11,11,2023,"Diem thi THPT",27.25,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.068306","2026-08-11 13:54:02.068306"
12,12,2023,"Diem thi THPT",27.55,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.069306","2026-08-11 13:54:02.069306"
13,13,2023,"Diem thi THPT",26.40,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.069972","2026-08-11 13:54:02.069972"
14,14,2023,"Diem thi THPT",27.50,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.070729","2026-08-11 13:54:02.070729"
15,15,2023,"Diem thi THPT",27.35,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.072247","2026-08-11 13:54:02.072247"
16,16,2023,"Diem thi THPT",27.65,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.073985","2026-08-11 13:54:02.073985"
17,17,2023,"Diem thi THPT",27.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.075028","2026-08-11 13:54:02.075028"
18,18,2023,"Diem thi THPT",26.40,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.075748","2026-08-11 13:54:02.075748"
19,19,2023,"Diem thi THPT",27.05,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.076421","2026-08-11 13:54:02.076421"
