school_code,school_name,address,region,website_url,tuition_range,latitude,longitude,dean_url,source
KHA,Đại Học Kinh Tế Quốc Dân,"207 đường Giải Phóng, phường Bạch Mai, Hà Nội",Thành phố Hà Nội,http://www.neu.edu.vn,"Học phí đại học chính quy chương trình chuẩn: theo ngành/chương trình học năm 2026 khoảng từ 20 triệu đồng đến 28 triệu đồng/năm học (dự kiến). | Học phí đại học chính quy các chương trình tiên tiến, chương trình chất lượng cao, chương trình định hướng ứng dụng (POHE), chương trình đào tạo bằng tiếng Anh: theo ngành/chương trình học năm 2026 khoảng từ 45 triệu đồng đến 70 triệu đồng/năm học (dự ki",20.9997459,105.8434973,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-quoc-dan-KHA.html,merged
BKA,Đại Học Bách Khoa Hà Nội,"Số 1 Đại Cồ Việt, phường Bạch Mai, Hà Nội",Thành phố Hà Nội,https://hust.edu.vn/,,21.0055269,105.8435926,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-ha-noi-BKA.html,merged
HTC,Học Viện Tài chính,"Số 58, Phố Lê Văn Hiến, Phường Đông Ngạc, Thành phố Hà Nội",Thành phố Hà Nội,https://hvtc.edu.vn,Học phí dự kiến với sinh viên chính quy; lộ trình tăng học phí tối đa cho từng năm: | * Học phí dự kiến năm học 2026 - 2027: | + Chương trình chuẩn tại cơ sở đào tạo chính Hà Nội: từ 20 – 35 triệu đồng/sinh viên/năm học.,21.0796876,105.7796405,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-tai-chinh-HTC.html,merged
NHH,Học Viện Ngân Hàng,"12 P. Chùa Bộc, Kim Liên, Hà Nội",Thành phố Hà Nội,https://www.hvnh.edu.vn/,"Học phí dự kiến cho năm học 2026–2027 của các chương trình chi tiết như dưới đây. Đối với các năm học còn lại của khóa học, Học viện dự kiến tăng học phí theo lộ trình được quy định tại Nghị định số 238/2025/NĐ-CP ngày 03/09/2025 của Chính phủ với mức tăng không quá 15%/năm học và tuân thủ các quy định pháp luật, văn bản hướng dẫn của các cơ quan nhà nước có thẩm quyền tại từng năm học. | Với các ",21.0095119,105.8290569,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ngan-hang-NHH.html,merged
NTH,Trường Đại học Ngoại thương,"Số 91 Phố Chùa Láng, Phường Láng, Hà Nội",Thành phố Hà Nội,http://www.ftu.edu.vn,,21.0225029,105.805148,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html,merged
QSB,Trường Đại Học Bách Khoa HCM,"- Cơ sở 1: 268 Lý Thường Kiệt, Phường Diên Hồng, TP. HCM - Cơ sở 2: Khu phố Tân Lập, Phường Đông Hòa, TP. HCM",Dĩ An,www.aao.hcmut.edu.vn/tuyen_sinh/index.html,Học phí thu theo học kỳ với số tín chỉ tối đa là 18 tín chỉ/học kỳ. Phần tín chỉ vượt được tính theo đơn giá tín chỉ. Một năm học có 02 học kỳ chính. Học phí các học kỳ phụ (nếu sinh viên có nhu cầu học) thu theo đơn giá tín chỉ. | (Đơn vị tính: 1.000 đồng/năm/sinh viên),10.8811139,106.8060415,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-hcm-QSB.html,merged
YHB,Trường Đại Học Y Hà Nội,"01 Tôn Thất Tùng, P. Kim Liên, Hà Nội",Thành phố Hà Nội,https://hmu.edu.vn/,Dự kiến mức học phí đại học hệ chính quy năm học 2026-2027 như sau:,21.0022278,105.8313173,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-ha-noi-YHB.html,merged
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông,"Số 96A Trần Phú, phường Hà Đông, thành phố Hà Nội.",Thành phố Hà Nội,https://ptit.edu.vn/,"Học phí Học phí dự kiến với sinh viên chính quy: Học phí trình độ đại hệ chính quy chương trình đại trà năm học 2026-2027 dự kiến: trung bình từ khoảng 35,9 triệu đồng/năm đến 40,7 triệu đồng/năm tùy theo từng ngành/ chương trình học (Trung bình bằng khoảng 75% đến 85% mức trần học phí theo quy định của Nhà nước); Học phí chương trình chất lượng cao trình độ đại học năm học 2026-2027: mức thu học ",20.9809427,105.7870861,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html,merged
SPH,Trường Đại Học Sư Phạm Hà Nội,"Số 136 Xuân Thuỷ, Phường Cầu Giấy, Hà Nội",Thành phố Hà Nội,www.hnue.edu.vn,,21.0390039,105.7842623,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-ha-noi-SPH.html,merged
TMU,Trường Đại Học Thương Mại,"Số 79 Hồ Tùng Mậu, Từ Liêm, Hà Nội",Thành phố Hà Nội,https://tmu.edu.vn/,,21.0364694,105.7751597,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thuong-mai-TMU.html,merged
SPS,Trường Đại Học Sư Phạm TPHCM,"280 An Dương Vương, Phường 4, Quận 5, TP. Hồ Chí Minh",Thủ Đức,http://hcmup.edu.vn,,10.7614399,106.6821537,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-tphcm-SPS.html,merged
YDS,Đại Học Y Dược TPHCM,"217 Hồng Bàng, Phường Chợ Lớn, TP. Hồ Chí Minh",Thủ Đức,https://ump.edu.vn.,Học phí dự kiến: | TT | Tên ngành,10.755264,106.6629435,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-tphcm-YDS.html,merged
QHI,Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,"144 Xuân Thủy, Cầu Giấy, Hà Nội",,https://uet.vnu.edu.vn/,STT | Mã tuyển sinh | Ngành/chương trình,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,merged
HNM,Trường Đại học Thủ Đô Hà Nội,"Số 98 Phố Dương Quảng Hàm, Phường Nghĩa Đô, TP. Hà Nội",Thành phố Hà Nội,https://hnmu.edu.vn/,,20.8645623,105.8646487,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thu-do-ha-noi-HNM.html,merged
GHA,Trường Đại Học Giao Thông Vận Tải,"Số 3 phố Cầu Giấy, Phường Láng, TP. Hà Nội.",Thành phố Hà Nội,tuyensinh.utc.edu.vn,,21.027598,105.8026539,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html,merged
YTB,Trường Đại Học Y Dược Thái Bình,"Số 373, Lý Bôn, phường Trần Lãm, tỉnh Hưng Yên",Tỉnh Hưng Yên,https://tbump.edu.vn/,Học phí dự kiến với sinh viên chính quy; lộ trình tăng học phí tối đa cho từng năm | Dự kiến mức thu học phí năm học 2026-2027 đối với các khóa tuyển sinh năm 2026 như sau: | Ngành Y khoa: 65.000.000 đồng/năm học.,20.4429316,106.3400605,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-thai-binh-YTB.html,merged
KMA,Học Viện Kỹ Thuật Mật Mã,141 Đường Chiến Thắng - Phường Thanh Liệt - TP. Hà Nội,Thành phố Hà Nội,https://actvn.edu.vn/,– Học phí (dự kiến): 595.000VNĐ/tín chỉ. | – Lộ trình tăng học phí tối đa cho từng năm: Theo quy định của Chính phủ cho các trường công lập tại Nghị định số 81/2021/NĐ-CP ngày 27 tháng 8 năm 2021 của Thủ tướng Chính phủ ban hành và Nghị định số 97/2023/NĐ-CP ngày 31 tháng 12 năm 2023 của Thủ tướng Chính phủ ban hành về sửa đổi bổ sung Nghị định số 81/2021/NĐ-CP ngày 27 tháng 8 năm 2021 và Nghị địn,20.9808209,105.7960754,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ky-thuat-mat-ma-KMA.html,merged
DCN,Đại Học Công Nghiệp Hà Nội,"Số 298 Đường Cầu Diễn, Phường Tây Tựu, Thành phố Hà Nội",Thành phố Hà Nội,https://www.haui.edu.vn/,"- Học phí được xác định theo số tín chỉ học tập trong học kỳ, đơn giá học phí tín chỉ; | - Đơn giá học phí tín chỉ năm học 2026-2027: đối với chương trình đào tạo chuẩn là 770.000 đồng/tín chỉ học phí, đối với chương trình đào tạo bằng Tiếng Anh là 1.100.000 đồng/tín chỉ học phí. | Đơn giá học phí các năm học tiếp theo được điều chỉnh theo quy định của Nhà nước và của Đại học Công nghiệp Hà Nội;",21.0542531,105.735039,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-ha-noi-DCN.html,merged
